epoch,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,grad_norm,learning_rate,loss,step,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.001422475106685633,,,,,4.966434955596924,0.0,1.1682,1,,,,,
0.01422475106685633,,,,,nan,2.0454545454545457e-05,0.868,10,,,,,
0.02844950213371266,,,,,3.7881510257720947,4.318181818181819e-05,0.6473,20,,,,,
0.04267425320056899,,,,,nan,4.9986966115324066e-05,0.4059,30,,,,,
0.05689900426742532,,,,,nan,4.99231593950137e-05,0.4016,40,,,,,
0.07112375533428165,,,,,nan,4.980632145763575e-05,0.3585,50,,,,,
0.08534850640113797,,,,,1.4213390350341797,4.963670090963376e-05,0.3871,60,,,,,
0.09957325746799431,,,,,1.2359040975570679,4.9414658667694e-05,0.3396,70,,,,,
0.11379800853485064,,,,,nan,4.9140667190791026e-05,0.2939,80,,,,,
0.12802275960170698,,,,,1.121440052986145,4.8815309474894814e-05,0.2919,90,,,,,
0.1422475106685633,,,,,nan,4.843927781247851e-05,0.3265,100,,,,,
0.1422475106685633,0.3115699589252472,322.6252,4.367,1.094,,,,100,,,,,
0.15647226173541964,,,,,1.5094013214111328,4.801337231946633e-05,0.3111,110,,,,,
0.17069701280227595,,,,,nan,4.7538499232755956e-05,0.341,120,,,,,
0.18492176386913228,,,,,1.7262722253799438,4.7015668981937856e-05,0.327,130,,,,,
0.19914651493598862,,,,,2.6919188499450684,4.644599403931465e-05,0.3232,140,,,,,
0.21337126600284495,,,,,0.936420738697052,4.583068655279508e-05,0.305,150,,,,,
0.22759601706970128,,,,,2.1442813873291016,4.517105576669942e-05,0.2228,160,,,,,
0.24182076813655762,,,,,1.4589582681655884,4.4468505235964165e-05,0.2808,170,,,,,
0.25604551920341395,,,,,3.2902255058288574,4.372452983967369e-05,0.2881,180,,,,,
0.2702702702702703,,,,,nan,4.2940712600273445e-05,0.2812,190,,,,,
0.2844950213371266,,,,,2.4304115772247314,4.211872131523265e-05,0.313,200,,,,,
0.2844950213371266,0.2608368694782257,115.5458,12.194,3.055,,,,200,,,,,
0.29871977240398295,,,,,1.4383490085601807,4.126030500832367e-05,0.2781,210,,,,,
0.3129445234708393,,,,,nan,4.036729020806903e-05,0.2932,220,,,,,
0.32716927453769556,,,,,1.3597347736358643,3.94415770612746e-05,0.2589,230,,,,,
0.3413940256045519,,,,,1.3446990251541138,3.848513528991872e-05,0.2985,240,,,,,
0.35561877667140823,,,,,1.4190709590911865,3.7500000000000003e-05,0.2821,250,,,,,
0.36984352773826457,,,,,nan,3.648826735126179e-05,0.2856,260,,,,,
0.3840682788051209,,,,,1.4646095037460327,3.545209009700711e-05,0.2607,270,,,,,
0.39829302987197723,,,,,nan,3.439367300349453e-05,0.2873,280,,,,,
0.41251778093883357,,,,,nan,3.3315268158661396e-05,0.253,290,,,,,
0.4267425320056899,,,,,nan,3.221917018015655e-05,0.2766,300,,,,,
0.4267425320056899,0.2505333721637726,114.9019,12.263,3.072,,,,300,,,,,
0.44096728307254623,,,,,nan,3.110771133287886e-05,0.2798,310,,,,,
0.45519203413940257,,,,,1.0686849355697632,2.9983256566410255e-05,0.286,320,,,,,
0.4694167852062589,,,,,1.1153484582901,2.8848198482902733e-05,0.2418,330,,,,,
0.48364153627311524,,,,,1.197956919670105,2.7704952246126536e-05,0.2734,340,,,,,
0.49786628733997157,,,,,1.2106472253799438,2.655595044251195e-05,0.2483,350,,,,,
0.5120910384068279,,,,,1.2858291864395142,2.5403637905119383e-05,0.2369,360,,,,,
0.5263157894736842,,,,,1.3443254232406616,2.4250466511551167e-05,0.2825,370,,,,,
0.5405405405405406,,,,,nan,2.3098889966874113e-05,0.2513,380,,,,,
0.5547652916073968,,,,,1.001353144645691,2.1951358582653568e-05,0.2636,390,,,,,
0.5689900426742532,,,,,0.8796272873878479,2.081031406320815e-05,0.2468,400,,,,,
0.5689900426742532,0.2354113608598709,115.6454,12.184,3.052,,,,400,,,,,
0.5832147937411095,,,,,0.8614566326141357,1.967818431017888e-05,0.2586,410,,,,,
0.5974395448079659,,,,,1.1787500381469727,1.8557378256467488e-05,0.2309,420,,,,,
0.6116642958748222,,,,,0.9528948068618774,1.7450280740536176e-05,0.2514,430,,,,,
0.6258890469416786,,,,,0.8906432390213013,1.6359247431975293e-05,0.2794,440,,,,,
0.6401137980085349,,,,,1.3496688604354858,1.5286599819136192e-05,0.2662,450,,,,,
0.6543385490753911,,,,,0.42885109782218933,1.423462026949452e-05,0.2373,460,,,,,
0.6685633001422475,,,,,2.1019253730773926,1.320554717325447e-05,0.2513,470,,,,,
0.6827880512091038,,,,,0.6784992218017578,1.2201570180527436e-05,0.2677,480,,,,,
0.6970128022759602,,,,,1.3895907402038574,1.1224825542219173e-05,0.2715,490,,,,,
0.7112375533428165,,,,,0.9848112463951111,1.0277391564539282e-05,0.2703,500,,,,,
0.7112375533428165,0.22860087454319,115.2361,12.227,3.063,,,,500,,,,,
